name,Age,Team & Contract,ID,Best position,Value(Euros),Wage(K),Release clause(euros in millions),Height,Weight,foot,Best overall,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace
K. Best LWB LB CB,17,"Preston North End
2023 ~ 2025",277286,CM,1.4,500,3.5,"181cm / 5'11""",75kg / 165lbs,Left,65,264,73,38,50,69,34,331,58,76,67,69,61,322,64,68,65,60,65,287,55,61,61,61,49,288,69,57,52,71,39,58,176,57,62,57,57,13,12,8,15,9,1725,361,1,66,44,70,60,58
Cédric ST,21,"Real Valladolid
2022 ~ 2024",277375,ST,1.6,3000,2.9,"187cm / 6'2""",75kg / 165lbs,Right,67,277,37,70,64,52,54,261,68,41,50,36,66,314,74,71,57,57,55,315,64,70,58,58,65,240,36,16,63,56,69,55,55,20,19,16,47,6,10,10,12,9,1509,327,1,72,67,47,64,23
Samu ST,19,"Deportivo Alavés
Jun 30, 2024 On loan",277581,ST,5000000,21000,0,"193cm / 6'4""",82kg / 181lbs,Right,74,314,35,76,74,67,62,280,70,41,50,48,71,307,65,74,55,69,44,367,71,82,65,80,69,227,32,16,75,47,57,59,45,20,12,13,50,11,12,11,8,8,1590,350,1,70,72,52,67,22
L. Pellegrini CAM CM CF,27,"Roma
2017 ~ 2026",228251,CM,38.5,88000,65.5,"186cm / 6'1""",77kg / 170lbs,Right,84,385,74,75,74,88,74,403,80,74,79,83,87,405,79,79,80,85,82,402,79,83,90,74,76,393,74,72,80,87,80,84,223,73,77,73,53,12,7,10,13,11,2264,473,2,79,76,83,83,74
D. Sow CM CDM,26,"Sevilla
2023 ~ 2028",229752,CM,16.5,29000,35.9,"184cm / 6'0""",76kg / 168lbs,Right,79,346,70,69,62,79,66,365,74,68,62,80,81,384,76,82,75,78,73,374,71,71,87,75,70,363,77,79,74,75,58,80,226,75,77,74,42,6,12,9,7,8,2100,453,2,79,69,75,77,75
N. Nández RM CM RB,27,"Cagliari
2019 ~ 2024",230965,RM,6000000,23000,10.8,"172cm / 5'8""",70kg / 154lbs,Right,75,326,72,59,58,73,64,347,76,73,54,70,74,417,86,80,87,76,88,362,65,79,88,72,58,365,90,74,72,69,60,69,207,64,71,72,50,8,8,14,5,15,2074,440,2,83,61,71,77,68
F. Reese LM ST RM,25,"Hertha BSC
2023 ~ 2028",231614,LM,6.5,14000,10.9,"187cm / 6'2""",80kg / 176lbs,Right,75,340,75,67,65,69,64,342,74,75,47,70,76,366,83,88,69,67,59,393,77,84,86,78,68,319,74,35,73,69,68,71,119,41,41,37,48,12,9,13,6,8,1927,420,1,86,69,70,73,42
16 FakePlayer ST CAM,27,"China PR
Free",231900,ST,0,0,0,"182cm / 6'0""",78kg / 172lbs,Right,69,322,53,73,63,68,65,301,70,52,56,54,69,357,75,72,71,71,68,333,68,72,70,67,56,278,62,24,65,64,63,0,79,22,34,23,46,10,8,9,6,13,1716,368,1,73,67,61,70,30
Ç. Söyüncü CB,27,"Fenerbahçe
Jun 30, 2024 On loan",232119,CB,10.5,43000,0,"185cm / 6'1""",82kg / 181lbs,Right,78,281,46,39,74,74,48,270,62,39,39,64,66,328,61,75,61,76,55,335,65,81,63,82,44,308,86,76,42,52,52,76,227,75,77,75,34,6,7,7,7,7,1783,392,1,69,46,59,64,76
Isi Palazón RM CF,28,"Rayo Vallecano
2020 ~ 2028",232498,RM,30.5,32000,64.1,"169cm / 5'7""",71kg / 157lbs,Left,82,343,80,82,35,81,65,393,83,75,76,77,82,413,87,82,86,77,81,357,75,65,72,64,81,332,55,41,78,80,78,76,117,39,41,37,57,11,8,10,13,15,2012,427,2,84,79,79,82,39
D. Dumfries RWB RM,27,"Inter
2021 ~ 2025",233096,RWB,25000000,80000,41.3,"188cm / 6'2""",80kg / 176lbs,Right,81,342,77,67,84,76,38,323,72,69,35,71,76,374,77,87,69,81,60,397,68,94,92,89,54,344,83,78,76,59,48,74,232,76,79,77,54,10,10,7,13,14,2066,456,3,83,63,70,73,78
X. Schlager CDM CM,25,"RB Leipzig
2022 ~ 2026",233195,CDM,29000000,54000,51.5,"174cm / 5'9""",76kg / 168lbs,Left,82,309,59,66,44,80,60,369,78,73,60,80,78,381,74,74,75,81,77,384,78,68,86,76,76,377,85,83,75,78,56,74,227,77,77,73,41,6,8,8,12,7,2088,451,2,74,70,74,78,75
D. Henderson GK,26,"Crystal Palace
2023 ~ 2028",233306,GK,16.5,35000,32.6,"188cm / 6'2""",85kg / 187lbs,Right,79,86,14,9,13,45,5,119,13,13,10,48,35,303,55,56,61,75,56,229,59+1,68,32,64,6,125,35,11,8,55,16,60,43,15,14,14,390,80,76-2,78+1,75,81,1295,445,2,80,76,78,81,55
I. Sangaré CDM CM,25,"Nottingham Forest
2023 ~ 2028",235173,CDM,24000000,65000,47.4,"191cm / 6'3""",77kg / 170lbs,Right,81,336,66,59,71,78,62,353,75,64,62,77,75,349,69,64,64,76,76,393,80,78,82,91,62,360,75,80,68,73,64,75,237,80,80,77,44,7,13,11,6,7,2072,442,3,66,65,73,74,79
I. Sarr RM LM RW,25,"Olympique de Marseille
2023 ~ 2028",235353,RM,9000000,34000,17.8,"185cm / 6'1""",76kg / 168lbs,Right,76,332,68,75,44,69,76,353,81,78,60,57,77,406,88,93,78,73,74,375,82,71,73,71,78,275,57,17,72,66,63,76,62,25,16,21,49,14,13,7,6,9,1852,403,1,91,76,66,79,22
E. Ampadu CB CDM,22,"Leeds United
2023 ~ 2027",235735,CDM,8000000,31000,16.8,"183cm / 6'0""",78kg / 172lbs,Right,77,278,46,51,69+2,77,35,294,67,47,36,72,72,349,69,69,67,76,68,335,55,76+1,78,74+2,52,318,78,77,59,65,39,74,228,76,77,75,54,13,12,9,8,12,1856,405,2,69,51,64,69,76
M. Di Gregorio GK,25,"Monza
2022 ~ 2027",235840,GK,19000000,38000,33.7,"187cm / 6'2""",82kg / 181lbs,Right,79,72,13,9,11,28,11,88,18,17,14,19,20,254,45,43,45,66,55,234,54,64,36,62,18,132,26,15,9,65,17,56,45,21,14,10,390,80,76,72,80,82,1215,434,1,80,76,72,82,44
Brais Méndez CM RM CAM,26,"Real Sociedad
2022 ~ 2028",235944,CAM,30000000,42000,65.3,"187cm / 6'2""",76kg / 168lbs,Left,83,386,79,83,71,84,69,398,83,74,75,82,84,356,72,70,76,82,56,381,77,80,71,73,80,373,74,62,81,84,72,80,193,63,69,61,45,10,5,10,12,8,2132,452,2,71,80,82,81,65
Reinildo LB CB,29,"Atlético Madrid
2022 ~ 2025",236045,LB,22.5,60000,47.3,"180cm / 5'11""",73kg / 161lbs,Left,81,337,74,57,77,76,53,315,74,68,36,60,77,394,82,85,77,79,71,353,60,88,83,75,47,337,80,79,70,64,44,73,241,79,82,80,49,6,8,13,15,7,2026,441,1,84,55,68,75,80
A. Danjuma ST LW,26,"Everton
Jun 30, 2024 On loan",236276,RW,11.5,34000,0,"178cm / 5'10""",74kg / 163lbs,Right,79,370,76,75,72,77,70,363,80,79,59,66,79,409,82,86,83,83,75,372,76,85,63,72,76,317,55,32,79,76,75,76,134,35,52,47,55,15,8,10,8,14,2020,424,1,84,75,74,80,44
R. Koch CB CDM,26,"Eintracht Frankfurt
Jun 30, 2024 On loan",236532,CB,19000000,48000,0,"191cm / 6'3""",85kg / 187lbs,Right,81,250,40,27,79,75,29,263,60,31,28,72,72,315,54,68,61,79,53,326,56,80,69,79,42,311,79,78,52,64,38,80,239,79,82,78,44,9,6,15,8,6,1748,383,2,62,38,61,65,80
David Neres LM RM CAM,26,"Benfica
2022 ~ 2027",236632,LM,23000000,18000,46000000,"175cm / 5'9""",69kg / 152lbs,Left,80,344,73,74,45,78,74,371,86,79,52,69,85,425,87,85,88,78,87,361,79,70,73,64,75,319,53,44,74,79,69,85,122,47,41,34,48,14,10,5,13,6,1990,429,3,86,75,75,86,43
J. Foyth RB,25,"Villarreal
2021 ~ 2026",237221,CB,25.5,34000,55.5,"187cm / 6'2""",83kg / 183lbs,Right,82,316,73,43,78,79,43,324,69,61,47,69,78,359,70,72,68,78,71,331,56,84,72,77,42,324,79,80,53,65,47,67,243,81,82,80,53,8,15,7,14,9,1950,418,1,71,46,71,72,81
V. Castellanos ST,24,"Lazio
2023 ~ 2028",237712,ST,25.5,51000,45.3,"178cm / 5'10""",70kg / 154lbs,Right,82,375,58,82,82,78,75,340,76,65,61,61,77,369,76,76,72,79,66,397,79,87,87,71,73,343,84,29,83,74,73,75,119,43,37,39,51,15,6,10,12,8,1994,420,3,76,79,69,76,42
T. Malacia LB,23,"Manchester United
2022 ~ 2026",238041,LB,15000000,73000,29.6,"169cm / 5'7""",67kg / 148lbs,Left,77,311,70,50,58,76,57,328,77,62,50,65,74,407,81,83,84,69,90,344,65,76,73,70,60,322,84,76,55,61,46,75,231,70,80,81,46,9,9,12,8,8,1989,430,1,82,55,68,77,74
J. Clauss RB RWB,30,"Olympique de Marseille
2022 ~ 2025",239093,RB,18000000,43000,34.2,"178cm / 5'10""",69kg / 152lbs,Right,80,346,84,68,62,76,56,375,76,77,76,67,79,414,85,88,83,81,77,366,77,76,82,63,68,341,67,72,75,75,52,76,221,71,76,74,67,15,14,15,8,15,2130,451,2,87,69,76,78,72
Galeno LM,25,"Porto
2022 ~ 2026",239482,RW,17000000,15000,35.3,"179cm / 5'10""",62kg / 137lbs,Right,79,322,68,79,41,69,65,366,83,78,70,55,80,419,91,93,84,78,73,366,75,69,81,67,74,304,52,45,79,69,59,85,102,34,39,29,58,13,6,13,11,15,1937,423,1,92,76,67,82,38
A. Papadopoulos CB CDM,23,"Borussia Dortmund
2021 ~ 2024",240008,CB,1.4,10000,2.5,"185cm / 6'1""",83kg / 183lbs,Right,69,193,28,22,55,59,29,208,53,23,30,44,58,321,63,66,64,64,64,314,41,82,76,82,33,270,82,64,37,52,35,59,194,65,66,63,49,8,11,7,13,10,1549,343,1,65,30,46,57,64
A. Skov Olsen RM CAM RW,23,"Club Brugge
2022 ~ 2026",240017,LM,21000000,22000,33.1,"187cm / 6'2""",75kg / 165lbs,Left,79,371,78,77,64,73,79,387,80,84,72,70,81,391,90,82,76,66,77,381,80,80,74,68,79,306,62,34,74,68,68,72,107,39,37,31,46,13,8,7,7,11,1989,424,1,86,78,73,79,39
M. Aarons RB,23,"AFC Bournemouth
2023 ~ 2027",240060,RWB,4.3,28000,8.5,"171cm / 5'7""",69kg / 152lbs,Right,74,267,65,41,53,67,41,282,70,50,32,58,72,396,84,79,84,70,79,313,49,74,84,70,36,303,71,70,69,66,27,75,213,73,71,69,46,11,11,7,9,8,1820,401,1,81,42,62,73,69
N. González RW RM LW,25,"Fiorentina
2021 ~ 2026",240690,RW,31000000,68000,55000000,"180cm / 5'11""",72kg / 159lbs,Left,81,386,78,80,80,80,68,355,85,65,54,66,85,408,85,88,81,76,78,352,75,81,76,55,65,341,67,39,81,69,85,76,123,38,46,39,38,10,6,9,5,8,2003,428,2,87,76,73,83,45
N. De la Cruz CM RM,26,"River Plate
2017 ~ 2025",240699,CAM,20.5,24000,30.2,"167cm / 5'6""",65kg / 143lbs,Right,81,371,75,74,70,79,73,397,83,84,75,75,80,427,89,80,92,79,87,378,83,77,83,57,78,379,80,70,80,80,69,83,212,65,76,71,40,9,6,9,7,9,2204,461,2,84,77,78,83,70
A. Gouiri LW ST LM,23,"Rennes
2022 ~ 2027",240753,CAM,19000000,45000,37.5,"181cm / 5'11""",80kg / 176lbs,Right,80,376,74,79,68,78,77,384,81,78,76,69,80,378,80,74,76,76,72,387,81,80,72,73,81,340,61,44,81,76,78,78,118,45,41,32,42,6,12,8,9,7,2025,427,2,77,80,75,79,45
L. Díaz LW,26,"Liverpool
2022 ~ 2027",241084,LW,46000000,165000,85.1,"180cm / 5'11""",73kg / 161lbs,Right,84,372,76,80,64,78,74,384,89,77,58,73,87,429,91,90,88,83,77,401,84,80,87,69,81,323,72,28,83,77,63,82,111,35,42,34,64,10,13,13,14,14,2084,447,2,90,80,76,87,39
Monchu CM CDM,23,"Real Valladolid
2022 ~ 2026",241933,CM,9000000,10000,16.2,"173cm / 5'8""",70kg / 154lbs,Right,77,322,70,73,60+5,77,42,367,71,67,76,78,75+1,361,71,67,69,71,83,360,80+5,67+2,79,55,79,364,76,70,70,74,74,65,205,66,74,65,46,11,5,7,12,11,2025,425,1,69,74,75,72,69
O. Solet CB,23,"Salzburg
2020 ~ 2025",242238,CB,14000000,15000,23.8,"192cm / 6'4""",88kg / 194lbs,Right,78,246,31,35,68,79,33,277,69,35,34,71,68,331,74,86,65,70,36,359,64,84,84,88,39,309,77,75,59,56,42,69,224,77,75,72,65,12,14,10,14,15,1811,410,1,81,43,59,67,75
Stephen Eustáquio CDM CM,26,"Porto
2022 ~ 2027",242380,CDM,11.5,13000,23.9,"178cm / 5'10""",67kg / 148lbs,Right,78,326,72,64,55,78,57,362,71,74,65,75,77,356,70,65,72,76,73,368,72,76,83,69,68,362,76,78,67,77,64,76,221,75,74,72,42,6,5,13,7,11,2037,429,1,67,66,75,74,73
C. Jones CM,22,"Liverpool
2018 ~ 2027",242434,CM,25.5,89000,49.1,"185cm / 6'1""",75kg / 165lbs,Right,81,335,65,68,52,83,67,366,83,74,51,76,82,370,68,72,76,79,75,371,76,68,82,72,73,358,74,71,77,76,60,82,215,71,76,68,44,6,13,7,11,7,2059,442,1,70,71,75,81,70
Y. Adli CDM CM CAM,22,"Milan
2021 ~ 2026",243627,CM,11000000,41000,20.9,"186cm / 6'1""",78kg / 172lbs,Right,79,351,74,66,62,81,68,390,75,77,75,85,78,363,72,73,72,77,69,364,72,75,72,71,74,354,73,72,71,78,60,78,210,71,71,68,59,14,12,9,10,14,2091,439,1,73,69,79,76,70
N. Pérez CB,23,"Udinese
2022 ~ 2027",244206,CB,8000000,13000,16000000,"184cm / 6'0""",75kg / 165lbs,Right,77,207,21,21,74,69,22,212,39,21,32,60,60,291,60,55,48,73,55,280,42,78,69,75,16,258,80,76,26,36,40,70,234,77,80,77,40,9,8,8,9,6,1522,331,1,57,25,47,50,77
A. Idah ST,22,"Celtic
Jun 30, 2024 On loan",244288,ST,2.6,18000,0,"190cm / 6'3""",83kg / 183lbs,Right,72,297,38,67,70,57,65,267,68,57,38,37,67,343,70,83,67,65,58,366,74,82,64,85,61,302,70,23,72,62,75,68,46,18,17,11,50,12,13,9,10,6,1671,362,1,77,68,50,67,23
J. Bogle RWB RB,22,"Sheffield United
2020 ~ 2024",244591,RWB,4.4,22000,9.1,"178cm / 5'10""",69kg / 152lbs,Right,73,286,72,55,55,70,34,308,73,60,38,65,72,376,81,80,76,66,73,322,61,73,72,65,51,320,67,69,74,66,44,71,208,67,72,69,49,15,10,11,7,6,1869,411,1,80,55,67,73,68
Trincão RW ST LW,23,"Sporting CP
2023 ~ 2026",244778,CAM,22000000,15000,48.4,"184cm / 6'0""",76kg / 168lbs,Left,80,353,69,79,66,71,68,372,84,82,56,66,84,379,77,77,84,76,65,349,75,72,69,56,77,310,50,35,79,79,67,81,107,37,36,34,42,5,9,6,15,7,1912,406,1,77,77,71,83,39
Silas RM ST RW,24,"VfB Stuttgart
2019 ~ 2026",245940,ST,6000000,19000,10.7,"189cm / 6'2""",82kg / 181lbs,Right,76,339,66,75,65,68,65,299,83,59,33,48,76,406,87,92,82,70,75,345,70,85,64,77,49,329,59,54,77,59,80,67,142,53,50,39,54,8,13,13,9,11,1914,422,1,90,69,61,79,52
Adrià Pedrosa LB LWB,25,"Sevilla
2023 ~ 2028",246113,LM,9000000,22000,19.6,"176cm / 5'9""",69kg / 152lbs,Left,77,322,72,61,59,72,58,334,81,74,40,65,74,413,91,89,83,73,77,350,63,77,89,63,58,331,78,70,70,68,45,73,210,69,71,70,60,14,14,14,10,8,2020,439,1,90,60,69,78,69
E. Laird RB RWB LB,21,"Birmingham City
2023 ~ 2026",246159,RB,4000000,8000,8.4,"177cm / 5'10""",66kg / 146lbs,Right,71,285,68,54,63,69,31,299,74,62,32,59,72,383,84,82,78,69,70,334,63,81,66,71,53,297,72,63,61,66,35,71,199,65,69,65,51,9,12,10,5,15,1848,411,1,83,54,65,73,66
D. Maeda LW RW ST,25,"Celtic
2022 ~ 2027",246321,ST,5000000,45000,9.4,"173cm / 5'8""",68kg / 150lbs,Right,75,351,63,71,73,72,72,317,74,63,57,53,70,437,92,93,89,77,86+1,384,76,85,94+2,62,67,334,77+1,55,76,66,60,67,176,62,59,55,40,5,9,5,9,12,2039,438,1,93,71,65,75,60
R. Sottil LW LM,24,"Fiorentina
2018 ~ 2026",246431,CAM,11.5,44000,20.4,"180cm / 5'11""",70kg / 154lbs,Right,77,307,69,66,42,74,56,325,79,60,45,62,79,403,90,89,77,72,75,298,68,61,55,50,64,296,50,30,75,72,69,68,106,32,35,39,50,12,13,6,5,14,1785,388,1,89,66,69,78,34
Álvaro Valles GK,25,"Las Palmas
2018 ~ 2024",246657,GK,26.5,20000,57.6,"192cm / 6'4""",82kg / 181lbs,Right,81,95,16,6,10,55,8,101,12,15,8,52,14,233,40,42,38,78,35,235,59,63,40,65,8,127,22,15,9,67,14,45,28,9,10,9,402,80,79,79,81,83,1221,443,1,80,79,79,83,41
M. Camara CDM CM,23,"Monaco
2022 ~ 2027",246764,CDM,14.5,37000,28.6,"173cm / 5'8""",65kg / 143lbs,Right,78,293,53,56,53,78,53,339,75,63,51,73,77,414,81,77,88,77,91,367,70,73,87,69,68,348,82,74,63,72,57,77,225,73,78,74,36,7,5,5,8,11,2022,436,2,79,61,69,78,73
G. Ávila CB LB,21,"Ajax
2023 ~ 2028",247467,CB,3000000,6000,4.8,"182cm / 6'0""",75kg / 165lbs,Left,72,252,57,32,69,66,28,318,61,62,67,64,64,341,68,72,67,65,69,350,78,76,71,74,51,292,75,69,41,62,45,67,208,69,69,70,50,14,11,10,9,6,1811,385,1,70,46,63,63,69
I. Gruev CDM CM,23,"Leeds United
2023 ~ 2027",248384,CDM,5.5,27000,11.6,"185cm / 6'1""",77kg / 170lbs,Left,74,280,61,44,55,77,43,313,70,41,55+13,73,74,336,62,72,63,73,66,308,57,65,73,65,48,308,65,71,59,70,43,74,217,71,72,74,47,9,13,9,5,11,1809,393,1,68,48,69,71,70
N. Collins CB,22,"Brentford
2023 ~ 2029",248484,CB,10.5,36000,22.1,"193cm / 6'4""",81kg / 179lbs,Right,77,244,50,29,75,68,22,258,62,39,25,66,66,299,59,73,46,74,47,294,46,79,72,78,19,250,76,76,24,39,35,74,227,75,76,76,47,9,10,6,13,9,1619,366,1,67,30,55,62,76
Z. Aboukhlal RM ST,23,"Toulouse
2022 ~ 2026",248564,CAM,9000000,19000,19.8,"179cm / 5'10""",74kg / 163lbs,Left,76,318,66,75,49,73,55,334,76,70,52,63,73,401,86,84,85,71,75,380,74,74,90,72,70,296,68,20,72,71,65,68,131,53,44,34,43,10,6,10,5,12,1903,418,1,85,72,69,75,41
G. Isaksen RW ST LW,22,"Lazio
2023 ~ 2028",248729,LM,9.5,35000,18.1,"178cm / 5'10""",65kg / 143lbs,Left,76,318,59,73,55,70,61,327,77,70,44,61,75,416,86,92,85,73,80,315,71,60,81,35,68,281,52,35,74,67,53,69,111,42,40,29,40,7,5,15,7,6,1808,392,1,89,70,65,77,40
A. Hickey RB RWB LB,21,"Brentford
2022 ~ 2026",248808,RB,11.5,32000,24.2,"185cm / 6'1""",72kg / 159lbs,Right,76,315,73,48,62,76,56,324,78,62,40,69,75,356,75,75,71,71,64,332,64,70,78,59,61,321,78,69,59,67,48,72,225,75,76,74,53,13,14,8,13,5,1926,416,1,75,55,70,75,73
D. Bakwa RM RW LW,20,"Strasbourg
2023 ~ 2027",250789,LM,11000000,17000,24.2,"179cm / 5'10""",77kg / 170lbs,Left,76,314,67,68,44,72,63,341,79,75,47,62,78,394,81,90,84,68,71,349,71,67,74,69,68,262,30,35,66,72,59,76,81,27,26,28,45,7,12,15,6,5,1786,392,1,86,68,68,78,30
D. Köhn LB LWB LM,24,"Galatasaray
2024 ~ 2026",250941,LB,5.5,26000,10.9,"180cm / 5'11""",73kg / 161lbs,Left,74,326,75,64,58,72,57,362,74,74,69,70,75,396,87,86,84,67,72+5,379,78,80+1,75+3,73+2,73,293,65,65,57,65,41,61,206,63,71,72,52,9,14,7,9,13,2014,436,1,86,67,71,74,66
T. Krauß CDM CM,22,"FSV Mainz 05
2023 ~ 2027",251392,CDM,10.5,20000,20000000,"182cm / 6'0""",75kg / 165lbs,Right,76,313,51,61,64,75,62,315,73,50,47,70,75,363,74,78,70,73,68,370,73,74,84,68,71,369,86,72,72,70,69,65,219,71,76,72,43,7,11,5,12,8,1992,429,1,76,66,66,73,72
L. Chevalier GK,21,"LOSC Lille
2018 ~ 2027",251752,GK,23000000,18000,48.3,"189cm / 6'2""",78kg / 172lbs,Right,79,67,12,9,12,25,9,82,14,15,14,22,17,245,47,43,38,79,38,214,54,60,39,53,8,103,23,10,7,47,16,45,31,10,10,11,385,79,76,72,78,80,1127,430,1,79,76,72,80,45
S. Botman CB,23,"Newcastle United
2022 ~ 2027",251809,CB,47000000,105000,92.8,"193cm / 6'4""",81kg / 179lbs,Left,85,254,43,24,81,79,27,288,63,47,28,76,74,302,53,75,57,83,34,346,65,84,70,90,37,309,86,82,45,59,37,77,253,85,84,84,49,12,9,8,6,14,1801,399,2,65,37,63,66,84
Fábio Silva ST LW,20,"Rangers
Jun 30, 2024 On loan",252037,ST,6000000,38000,0,"185cm / 6'1""",75kg / 165lbs,Right,75,324,45,76,66,65,72,299,74,52,46,51,76,357,73,75,70,74,65,360,73,78,70,74,65,297,67,18,73,66,73,71,86,32,28,26,46,6,12,7,13,8,1769,382,1,74,73,58,74,31
A. Ueda ST CAM,24,"Feyenoord
2023 ~ 2028",252162,ST,4.7,13000,6.9,"182cm / 6'0""",76kg / 168lbs,Right,75,328,47,78,72,58,73,302,64,63,64,43,68,375,79,80,76,76,64,374,73,90,73,70,68,296,58,23,77,62,76,79,66,22,22,22,54,7,12,14,15,6,1795,374,1,80,75,55,68,27
M. Neuer GK,37,"FC Bayern München
2011 ~ 2025",167495,GK,9000000,55000,14.9,"193cm / 6'4""",93kg / 205lbs,Right,87,124,15,13,25,60,11,169,30,14,11,68,46,268,48,50,51,84,35,284,68,77,43,80,16,188,29,30,12,70,47,70,38,17,10,11,431,84,85,90,88,84,1502,480,5,84,85,90,84,49
José Fonte CB,39,"Sporting Braga
2023 ~ 2024",171791,CB,1.3,9000,2.6,"191cm / 6'3""",81kg / 179lbs,Right,76,280,47,42,81,74,36,281,61,51,32,69,68,204,31,31,31,65,46,337,60,76,76,82,43,314,83,77,48,63,43,70,230,75,80,75,50,7,11,16,10,6,1696,357,3,31,46,62,60,78
E. Cavani ST,36,"Boca Juniors
2023 ~ 2024",179813,ST,3.6,17000,5.4,"185cm / 6'1""",77kg / 170lbs,Right,77,381,65,81,83,72,80,347,70,76,74,52,75,310,53,57,61,82,57,367,83,80,57,74,73,377,81,54,86,73,83,81,132,45,48,39,53,12,5,13,13,10,1967,396,4,55,80,68,71,51
A. Vidal CM,36,"Colo-Colo
2024 ~ 2024",181872,CM,3.3,11000,4.6,"180cm / 5'11""",75kg / 165lbs,Right,77,385,74,74,81,78,78,372,75,76,68,76,77,354,65,60,76,76,77,390,84,83,69,74,80,396,85,77,75,76,83,76,229,72,80,77,16,4,2,4,2,4,2142,444,4,62,78,76,76,77
Azpilicueta CB RB,33,"Atlético Madrid
2023 ~ 2024",184432,CB,8.5,51000,17.9,"178cm / 5'10""",77kg / 170lbs,Right,79,332,78,46,78,79,51,346,68,68,58,77,75,345,64,58,67,83,73,351,68,80,72,71,60,366,84,82,62,72,66,78,243,82,81,80,43,13,9,10,6,5,2026,419,3,61,55,76,72,81
A. Sánchez ST,34,"Inter
2023 ~ 2024",184941,CAM,10.5,88000,17.3,"169cm / 5'7""",65kg / 143lbs,Right,82,395,80,81,72,79,83,401,83,83,75,75,85,398,73,70,82,83,90,368,80,77,65,65,81,358,67,52,87,83,69,82,124,45,44,35,60,10,10,15,12,13,2104,429,4,71,81,79,84,48
W. Szczęsny GK,33,"Juventus
2017 ~ 2025",186153,GK,22000000,125000,37.4,"196cm / 6'5""",90kg / 198lbs,Right,86,86,12,12,16,32,14,99,11,16,14,36,22,286,51,47,55,82,51,249,55,70,45,65,14,135,40,15,14,48,18,65,45,20,13,12,415,86,83,73,86,87,1315,464,3,86,83,73,87,49
İ. Gündoğan CM CDM,32,"FC Barcelona
2023 ~ 2025",186942,CM,53.5,220000,109.7,"180cm / 5'11""",80kg / 176lbs,Right,86,372,77,82,50,88,75,427,86,86,80,84,91,365,65,60,77,86,77,374,79,67,75,73,80,395,70,75,84,86,80,87,219,77,75,67,48,11,14,5,5,13,2200,458,3,62,81,84,86,72
C. Eriksen CM CDM,31,"Manchester United
2022 ~ 2025",190460,CM,14.5,110000,27.6,"182cm / 6'0""",76kg / 168lbs,Right,79,367,83,71,50,86,77,419,75,86,84,87,87,323,58,54,63,76,72,331,80,55,67,50,79,320,35,52,75,86,72,81,132,53,57,22,43,9,14,7,7,6,1935,397,3,56,75,85,78,51
M. ter Stegen GK,31,"FC Barcelona
2014 ~ 2028",192448,GK,54.5,220000,111.7,"187cm / 6'2""",85kg / 187lbs,Right,89,118,18,14,11,61,14,144,21,18,12,63,30,262,45,50,39,85,43,262,67,72,35,78,10,171,43,22,11,70,25,70,48,25,13,10,437,86,85,89,86,91,1442,484,5,86,85,89,91,47
J. Cuadrado RM RB RW,35,"Inter
2023 ~ 2024",193082,RM,7000000,57000,11.6,"179cm / 5'10""",72kg / 159lbs,Right,79,363,82,66,65,80,70,400,84,84,76,74,82,410,85,85,87,72,81,368,84,76,68,60,80,364,80,72,73,74,65,78,232,72,79,81,38,5,5,13,6,9,2175,460,3,85,73,78,83,74
T. Cairney CM CDM CAM,32,"Fulham
2015 ~ 2025",195202,CM,6000000,66000,11.4,"186cm / 6'1""",84kg / 185lbs,Left,76,357,78,70,58,79,72,382,75,77,73,77,80,336,64,51,73,78,70,351,74,67,66,68,76,340,58,64,75,78,65,81,182,67,64,51,46,14,12,7,6,7,1994,412,1,57,72,78,77,63
S. de Vrij CB,31,"Inter
2018 ~ 2025",198176,CB,21000000,86000,34.7,"189cm / 6'2""",78kg / 172lbs,Right,82,256,49,25,81,74,27,290,66,45,36,71,72,330,66,62,61,82,59,358,65,84,71,78,60,306,77,87,31,70,41,85,251,84,85,82,52,8,10,7,14,13,1843,398,3,64,41,64,69,84
L. Insigne LW CF LM,32,"Toronto
2022 ~ 2026",198219,LW,16.5,13000,23.9,"163cm / 5'4""",59kg / 130lbs,Right,80,366,75,77,59,79,76,425,84,89,84,83,85,406,83,76,84,73,90,321,79,61,67,34,80,299,34,30,79,79,77,81,94,52,20,22,45,8,4,14,9,10,1956,401,4,79,78,80,84,36
22 J. Rodríguez RW CAM CM,29,"Everton
2020 ~ 2022",198710,CAM,25.5,105000,48.5,"180cm / 5'11""",75kg / 165lbs,Left,83,409,89,84,62,84,90,436,86,89,86,85,90,343,55,51,78,83,76,342,86,46,55,64,91,360,60,55,80,84,81,87,137,52,41,44,64,15,15,15,5,14,2091,421,4,53,86,86,86,50
